Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,24,20,NE,Partly cloudy,0.3,84,9,1015,67,27,22,24,31,27,1
1/1/2019 01:00,24,19,NE,Partly cloudy,0.1,84,10,1014,52,27,21,24,30,27,1
1/1/2019 02:00,24,18,NE,Partly cloudy,0.0,84,10,1014,37,26,21,24,28,26,1
1/1/2019 03:00,24,17,NE,Partly cloudy,0.0,84,10,1014,23,26,21,24,27,26,1
1/1/2019 04:00,24,16,NE,Partly cloudy,0.0,83,10,1014,21,27,21,24,25,27,1
1/1/2019 05:00,25,15,NE,Partly cloudy,0.0,82,10,1014,19,27,21,25,22,27,1
1/1/2019 06:00,25,14,NE,Partly cloudy,0.0,81,10,1015,17,27,21,25,20,27,1
1/1/2019 07:00,26,13,NE,Partly cloudy,0.0,77,10,1015,15,28,21,26,18,28,1
1/1/2019 08:00,27,12,NE,Partly cloudy,0.0,73,10,1015,13,29,21,27,16,29,1
1/1/2019 09:00,28,11,ENE,Partly cloudy,0.0,69,10,1016,11,31,22,28,14,31,1
1/1/2019 10:00,29,10,ENE,Partly cloudy,0.0,66,10,1015,14,32,22,29,12,32,1
1/1/2019 11:00,30,9,ENE,Partly cloudy,0.0,63,10,1015,18,33,22,30,11,33,1
1/1/2019 12:00,31,9,E,Partly cloudy,0.0,60,10,1014,22,35,22,31,10,35,1
1/1/2019 13:00,31,8,E,Partly cloudy,0.0,62,10,1014,35,34,22,31,9,34,1
1/1/2019 14:00,30,7,ESE,Light rain shower,0.0,65,10,1013,47,34,23,30,9,34,1
1/1/2019 15:00,30,7,ESE,Light rain shower,0.0,67,10,1013,60,34,23,30,8,34,1
1/1/2019 16:00,29,6,E,Light rain shower,0.0,71,10,1013,70,33,23,29,8,33,1
1/1/2019 17:00,28,6,E,Patchy rain possible,0.1,75,10,1014,79,32,23,28,8,32,1
1/1/2019 18:00,27,5,E,Patchy rain possible,0.1,79,10,1014,88,31,23,27,8,31,1
1/1/2019 19:00,26,7,ENE,Patchy rain possible,0.0,81,10,1014,86,30,23,26,11,30,1
1/1/2019 20:00,26,9,ENE,Patchy rain possible,0.1,82,9,1015,84,29,23,26,14,29,1
1/1/2019 21:00,25,11,NE,Patchy rain possible,0.1,83,9,1015,81,28,22,25,18,28,1
1/1/2019 22:00,25,12,NE,Patchy rain possible,0.0,83,10,1015,74,27,22,25,19,27,1
1/1/2019 23:00,25,13,NE,Partly cloudy,0.0,84,10,1015,67,27,22,25,21,27,1
2/1/2019 00:00,24,14,NE,Partly cloudy,0.0,84,10,1015,60,26,21,24,22,26,1
2/1/2019 01:00,24,14,NE,Partly cloudy,0.0,84,10,1014,44,26,21,24,22,26,1
2/1/2019 02:00,24,14,NE,Partly cloudy,0.0,84,10,1014,28,26,21,24,21,26,1
2/1/2019 03:00,24,14,NE,Partly cloudy,0.0,84,10,1014,12,26,21,24,21,26,1
2/1/2019 04:00,24,13,NE,Partly cloudy,0.0,83,10,1014,12,26,21,24,20,26,1
2/1/2019 05:00,24,13,NE,Partly cloudy,0.0,83,10,1014,12,26,21,24,19,26,1
2/1/2019 06:00,25,13,NE,Partly cloudy,0.0,82,10,1015,12,27,21,25,18,27,1
2/1/2019 07:00,26,12,NE,Partly cloudy,0.0,78,10,1015,16,28,21,26,16,28,1
2/1/2019 08:00,27,11,ENE,Partly cloudy,0.0,75,10,1015,19,29,22,27,14,29,1
2/1/2019 09:00,28,10,ENE,Partly cloudy,0.0,71,10,1015,23,30,22,28,13,30,1
2/1/2019 10:00,28,9,ENE,Partly cloudy,0.0,68,10,1015,31,31,22,28,11,31,1
2/1/2019 11:00,29,8,E,Light rain shower,0.0,66,10,1015,39,33,22,29,9,33,1
2/1/2019 12:00,30,7,ESE,Light rain shower,0.0,63,10,1014,47,34,22,30,8,34,1
2/1/2019 13:00,30,7,ESE,Light rain shower,0.0,66,10,1014,49,33,22,30,8,33,1
2/1/2019 14:00,29,7,SE,Light rain shower,0.1,68,10,1013,51,33,22,29,8,33,1
2/1/2019 15:00,29,7,SE,Light rain shower,0.1,70,10,1013,54,32,23,29,8,32,1
2/1/2019 16:00,28,6,ESE,Light rain shower,0.1,73,10,1013,55,31,23,28,8,31,1
2/1/2019 17:00,27,5,ESE,Light rain shower,0.1,77,10,1014,55,31,23,27,7,31,1
2/1/2019 18:00,27,5,E,Light rain shower,0.2,80,10,1014,56,30,23,27,7,30,1
2/1/2019 19:00,26,5,ENE,Light rain shower,0.1,81,10,1015,59,29,23,26,8,29,1
2/1/2019 20:00,26,6,NE,Patchy rain possible,0.1,83,10,1015,62,29,23,26,9,29,1
2/1/2019 21:00,25,6,NNE,Patchy rain possible,0.1,84,10,1016,65,28,23,25,10,28,1
2/1/2019 22:00,25,8,NE,Patchy rain possible,0.0,84,10,1015,62,27,22,25,12,27,1
2/1/2019 23:00,25,9,NE,Partly cloudy,0.0,85,9,1015,59,27,22,25,14,27,1
3/1/2019 00:00,24,10,NE,Partly cloudy,0.0,85,9,1015,56,26,22,24,16,26,1
3/1/2019 01:00,24,10,NE,Partly cloudy,0.0,85,10,1015,39,26,21,24,16,26,1
3/1/2019 02:00,24,11,NE,Partly cloudy,0.0,85,10,1015,23,26,21,24,17,26,1
3/1/2019 03:00,24,11,NE,Partly cloudy,0.0,86,10,1014,7,26,21,24,18,26,1
3/1/2019 04:00,24,11,NE,Partly cloudy,0.0,85,10,1014,7,26,21,24,16,26,1
