Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2015 00:00,22,6,SE,Mist,0.0,94,2,1012,34,24,21,22,11,22,1
1/1/2015 01:00,21,6,SE,Mist,0.0,95,2,1012,33,24,21,22,10,22,1
1/1/2015 02:00,21,6,SE,Mist,0.0,95,2,1012,33,24,21,22,10,22,1
1/1/2015 03:00,21,5,SE,Mist,0.0,96,2,1011,32,24,21,21,10,21,1
1/1/2015 04:00,21,4,ESE,Mist,0.0,95,5,1012,33,25,21,22,8,22,1
1/1/2015 05:00,22,3,ESE,Partly cloudy,0.0,94,7,1012,34,25,21,22,6,22,1
1/1/2015 06:00,22,3,ESE,Partly cloudy,0.0,93,10,1013,35,25,22,23,4,25,1
1/1/2015 07:00,24,5,E,Partly cloudy,0.0,85,10,1013,35,27,22,24,6,27,1
1/1/2015 08:00,26,7,E,Partly cloudy,0.0,77,10,1013,35,28,21,26,8,28,1
1/1/2015 09:00,27,9,ENE,Partly cloudy,0.0,68,10,1013,35,30,21,27,10,30,1
1/1/2015 10:00,28,10,ENE,Partly cloudy,0.0,66,10,1013,35,30,21,28,11,30,1
1/1/2015 11:00,29,11,E,Partly cloudy,0.0,63,10,1012,35,31,21,29,12,31,1
1/1/2015 12:00,29,12,E,Partly cloudy,0.0,60,10,1012,34,32,21,29,13,32,1
1/1/2015 13:00,29,12,E,Partly cloudy,0.0,62,10,1011,31,31,21,29,14,31,1
1/1/2015 14:00,28,12,ENE,Patchy rain possible,0.1,64,9,1010,27,31,21,28,15,31,1
1/1/2015 15:00,28,13,ENE,Patchy rain possible,0.1,66,9,1009,23,30,21,28,16,30,1
1/1/2015 16:00,26,12,E,Patchy rain possible,0.0,74,9,1010,27,29,21,26,16,29,1
1/1/2015 17:00,25,10,E,Partly cloudy,0.0,81,10,1011,30,27,21,25,17,27,1
1/1/2015 18:00,23,9,ESE,Partly cloudy,0.0,89,10,1012,33,26,21,23,18,26,1
1/1/2015 19:00,23,8,ESE,Partly cloudy,0.0,90,10,1012,28,25,22,23,16,25,1
1/1/2015 20:00,23,7,ESE,Clear,0.0,92,10,1013,23,25,22,23,14,25,1
1/1/2015 21:00,23,6,ESE,Clear,0.0,93,10,1013,19,25,22,23,12,25,1
1/1/2015 22:00,22,6,ESE,Clear,0.0,94,7,1013,24,25,22,23,11,25,1
1/1/2015 23:00,22,6,SE,Mist,0.0,94,5,1013,30,25,22,23,11,25,1
2/1/2015 00:00,22,6,SE,Mist,0.0,95,2,1013,36,25,22,22,10,25,1
2/1/2015 01:00,22,5,SE,Mist,0.0,95,2,1013,36,25,22,22,10,25,1
2/1/2015 02:00,22,5,ESE,Mist,0.0,95,2,1012,35,25,22,22,9,22,1
2/1/2015 03:00,22,5,ESE,Mist,0.0,96,2,1012,35,25,22,22,8,22,1
2/1/2015 04:00,22,5,ESE,Mist,0.0,95,5,1012,42,25,22,22,8,25,1
2/1/2015 05:00,22,5,ESE,Partly cloudy,0.0,94,7,1012,50,25,22,23,8,25,1
2/1/2015 06:00,22,5,E,Partly cloudy,0.1,93,10,1013,57,25,22,23,8,25,1
2/1/2015 07:00,24,6,E,Partly cloudy,0.0,87,10,1013,57,27,22,24,8,27,1
2/1/2015 08:00,25,7,ENE,Light rain shower,0.1,81,10,1014,57,28,22,25,9,28,1
2/1/2015 09:00,27,8,ENE,Light rain shower,0.1,74,10,1014,57,29,22,27,9,29,1
2/1/2015 10:00,26,8,ENE,Light rain shower,0.1,75,10,1013,59,29,22,27,10,29,1
2/1/2015 11:00,26,8,ENE,Cloudy,0.0,75,10,1013,61,29,22,26,10,29,1
2/1/2015 12:00,26,8,ENE,Cloudy,0.0,76,10,1012,63,28,21,26,11,28,1
2/1/2015 13:00,26,9,ENE,Cloudy,0.0,74,10,1012,60,28,21,26,12,28,1
2/1/2015 14:00,26,10,ENE,Partly cloudy,0.1,72,10,1012,57,28,21,26,14,28,1
2/1/2015 15:00,26,11,ENE,Partly cloudy,0.1,70,10,1011,54,28,21,27,15,28,1
2/1/2015 16:00,25,11,ENE,Partly cloudy,0.0,74,10,1012,52,27,20,25,16,27,1
2/1/2015 17:00,24,10,ENE,Partly cloudy,0.0,79,10,1012,50,26,20,24,18,26,1
2/1/2015 18:00,23,10,E,Partly cloudy,0.0,83,10,1013,49,25,20,23,19,25,1
2/1/2015 19:00,23,9,E,Partly cloudy,0.0,85,10,1013,43,25,20,23,17,25,1
2/1/2015 20:00,22,8,E,Partly cloudy,0.0,87,10,1014,37,25,20,22,15,25,1
2/1/2015 21:00,22,6,E,Partly cloudy,0.0,90,10,1014,32,25,20,22,13,22,1
2/1/2015 22:00,21,6,E,Partly cloudy,0.0,91,10,1014,38,24,20,22,13,22,1
2/1/2015 23:00,21,6,ESE,Partly cloudy,0.0,92,10,1013,44,24,20,21,13,21,1
3/1/2015 00:00,21,6,ESE,Partly cloudy,0.0,94,10,1013,49,24,20,21,13,21,1
3/1/2015 01:00,21,5,ESE,Partly cloudy,0.0,94,7,1013,61,23,20,21,11,21,1
3/1/2015 02:00,21,4,ESE,Mist,0.0,95,5,1013,73,22,20,21,9,21,1
3/1/2015 03:00,21,4,ESE,Mist,0.0,95,2,1013,84,21,20,21,7,21,1
3/1/2015 04:00,21,3,ESE,Mist,0.0,94,5,1013,90,22,21,22,6,22,1
3/1/2015 05:00,22,2,SE,Overcast,0.0,93,7,1013,95,24,21,22,5,22,1
3/1/2015 06:00,23,2,SE,Overcast,0.0,92,10,1014,100,25,22,23,3,25,1
3/1/2015 07:00,23,3,ESE,Overcast,0.0,89,10,1014,79,26,22,24,4,26,1
3/1/2015 08:00,24,4,ENE,Partly cloudy,0.0,85,10,1014,58,27,22,25,5,27,1
3/1/2015 09:00,25,5,NE,Partly cloudy,0.0,81,10,1014,37,28,22,26,6,28,1
3/1/2015 10:00,26,6,NE,Partly cloudy,0.0,75,10,1014,39,29,22,27,8,29,1
3/1/2015 11:00,27,8,NE,Partly cloudy,0.0,69,10,1013,41,30,21,28,9,30,1
3/1/2015 12:00,29,9,ENE,Partly cloudy,0.0,63,10,1012,43,31,21,29,11,31,1
3/1/2015 13:00,28,10,ENE,Partly cloudy,0.0,66,10,1012,40,30,21,28,12,30,1
3/1/2015 14:00,27,10,NE,Partly cloudy,0.0,69,10,1011,37,30,21,27,13,30,1
3/1/2015 15:00,27,11,NE,Partly cloudy,0.0,71,10,1011,34,29,21,27,15,29,1
3/1/2015 16:00,26,9,NE,Partly cloudy,0.0,76,10,1011,51,28,21,26,13,28,1
3/1/2015 17:00,25,7,NE,Cloudy,0.0,81,10,1011,67,27,21,25,12,27,1
3/1/2015 18:00,23,5,NE,Cloudy,0.0,86,10,1011,84,26,21,24,10,26,1
3/1/2015 19:00,23,6,ENE,Cloudy,0.0,87,10,1012,86,26,21,24,11,26,1
3/1/2015 20:00,23,6,ENE,Overcast,0.0,87,10,1012,88,26,21,24,11,26,1
3/1/2015 21:00,23,6,E,Overcast,0.0,88,10,1012,89,26,21,24,11,26,1
3/1/2015 22:00,23,6,E,Overcast,0.0,90,10,1012,86,26,22,23,11,26,1
3/1/2015 23:00,23,6,ESE,Cloudy,0.0,91,10,1012,82,25,22,23,10,25,1
4/1/2015 00:00,23,5,ESE,Cloudy,0.0,93,10,1012,79,25,22,23,9,25,1
4/1/2015 01:00,23,5,ESE,Cloudy,0.0,94,7,1012,69,25,22,23,8,25,1
4/1/2015 02:00,23,4,ESE,Mist,0.0,94,5,1011,59,25,22,23,7,25,1
4/1/2015 03:00,22,4,ESE,Mist,0.0,95,2,1010,50,25,22,23,6,25,1
4/1/2015 04:00,23,4,ESE,Mist,0.0,95,5,1011,44,26,22,23,6,26,1
4/1/2015 05:00,23,4,E,Partly cloudy,0.0,94,7,1011,39,26,22,23,7,26,1
4/1/2015 06:00,23,4,E,Partly cloudy,0.0,94,10,1011,34,26,23,24,7,26,1
4/1/2015 07:00,25,5,E,Partly cloudy,0.0,87,10,1012,42,27,22,25,7,27,1
4/1/2015 08:00,26,6,E,Partly cloudy,0.0,79,10,1012,50,29,22,26,7,29,1
4/1/2015 09:00,27,7,ENE,Partly cloudy,0.0,72,10,1013,58,30,22,28,8,30,1
4/1/2015 10:00,28,7,E,Partly cloudy,0.0,70,10,1012,55,31,22,28,8,31,1
4/1/2015 11:00,28,7,E,Partly cloudy,0.0,68,10,1011,52,31,22,29,8,31,1
4/1/2015 12:00,29,7,E,Partly cloudy,0.0,65,10,1011,49,32,22,29,8,32,1
4/1/2015 13:00,28,8,ENE,Partly cloudy,0.0,67,10,1010,46,31,22,29,9,31,1
4/1/2015 14:00,28,8,ENE,Patchy rain possible,0.1,69,9,1010,44,31,22,28,11,31,1
4/1/2015 15:00,27,9,NE,Patchy rain possible,0.1,72,9,1010,42,30,22,28,12,30,1
4/1/2015 16:00,26,8,ENE,Patchy rain possible,0.1,77,9,1010,44,29,22,26,11,29,1
4/1/2015 17:00,25,7,ENE,Partly cloudy,0.0,83,10,1011,47,27,22,25,10,27,1
4/1/2015 18:00,24,5,E,Partly cloudy,0.0,88,10,1011,49,26,22,24,9,26,1
4/1/2015 19:00,23,5,E,Partly cloudy,0.0,90,10,1011,43,26,22,23,8,26,1
4/1/2015 20:00,23,4,E,Partly cloudy,0.0,92,10,1011,38,25,22,23,7,25,1
4/1/2015 21:00,22,3,E,Partly cloudy,0.0,94,10,1011,32,25,22,23,6,25,1
4/1/2015 22:00,22,3,E,Partly cloudy,0.0,94,7,1011,37,25,21,22,5,22,1
4/1/2015 23:00,22,2,E,Mist,0.0,95,5,1011,42,25,21,22,5,22,1
5/1/2015 00:00,21,2,ESE,Mist,0.0,95,2,1012,47,24,21,22,4,22,1
5/1/2015 01:00,21,2,ESE,Mist,0.0,95,2,1011,47,24,21,22,4,22,1
