,Date,TrueCloudcover,PredictedCloudcover
0,1/1/2019,20,33.72866821
1,2/1/2019,13,25.28466225
2,3/1/2019,5,24.50159454
3,4/1/2019,2,21.83190346
4,5/1/2019,34,18.9229393
5,6/1/2019,30,37.50068665
6,7/1/2019,38,28.73882103
7,8/1/2019,26,31.37849808
8,9/1/2019,31,37.46702194
9,10/1/2019,49,33.71140671
10,11/1/2019,66,36.70480728
11,12/1/2019,66,41.43266678
12,1/13/2019,44,39.42011261
13,1/14/2019,52,47.32962418
14,1/15/2019,67,71.40106964
15,1/16/2019,65,45.93519974
16,1/17/2019,11,31.10438347
17,1/18/2019,13,20.80787086
18,1/19/2019,5,8.177060127
19,1/20/2019,10,1.163211465
20,1/21/2019,25,21.62699318
21,1/22/2019,8,27.45472717
22,1/23/2019,27,22.99432755
23,1/24/2019,25,24.02174377
24,1/25/2019,44,49.30161667
25,1/26/2019,47,51.16292191
26,1/27/2019,61,47.09487152
27,1/28/2019,17,29.72389793
28,1/29/2019,8,14.16557693
29,1/30/2019,4,11.68575096
30,1/31/2019,17,10.11068535
31,1/2/2019,31,30.8270359
32,2/2/2019,33,25.50086403
33,3/2/2019,52,48.11629486
34,4/2/2019,59,59.72623825
35,5/2/2019,50,46.34315872
36,6/2/2019,51,53.64902496
37,7/2/2019,28,47.03440094
38,8/2/2019,80,55.72084808
39,9/2/2019,73,64.58349609
40,10/2/2019,56,59.94563293
41,11/2/2019,55,41.87760925
42,12/2/2019,40,37.15786362
43,2/13/2019,33,34.84255981
44,2/14/2019,48,45.92044449
45,2/15/2019,63,53.48208618
46,2/16/2019,74,66.76615143
47,2/17/2019,53,69.06183624
48,2/18/2019,53,54.84804535
49,2/19/2019,49,54.56542969
50,2/20/2019,64,45.54919815
51,2/21/2019,34,46.31579971
52,2/22/2019,21,35.26567078
53,2/23/2019,39,35.37498856
54,2/24/2019,25,30.5125885
55,2/25/2019,23,33.057724
56,2/26/2019,69,39.25743866
57,2/27/2019,69,76.70917511
58,2/28/2019,45,42.78589249
59,1/3/2019,21,34.39204025
60,2/3/2019,31,30.97006035
61,3/3/2019,38,41.7218895
62,4/3/2019,48,45.61091232
63,5/3/2019,62,54.07189178
64,6/3/2019,46,52.35231018
65,7/3/2019,39,53.07579803
66,8/3/2019,58,59.30084991
67,9/3/2019,71,63.45077896
68,10/3/2019,20,43.40827942
69,11/3/2019,37,40.06498337
70,12/3/2019,71,62.58405304
71,3/13/2019,62,63.64057159
72,3/14/2019,40,47.71456146
73,3/15/2019,50,51.10148621
74,3/16/2019,37,49.67993164
75,3/17/2019,60,54.58287048
76,3/18/2019,77,87.25225067
77,3/19/2019,31,39.99055481
78,3/20/2019,50,60.30086136
79,3/21/2019,55,54.82533646
80,3/22/2019,43,47.42638016
81,3/23/2019,68,46.81048584
82,3/24/2019,8,25.11896515
83,3/25/2019,12,17.21724892
84,3/26/2019,46,33.84225082
85,3/27/2019,14,21.22170258
86,3/28/2019,25,20.30223465
87,3/29/2019,4,15.48486805
88,3/30/2019,15,12.9198103
89,3/31/2019,22,15.10239124
90,1/4/2019,10,13.77579594
91,2/4/2019,12,15.67821026
92,3/4/2019,52,33.27350616
93,4/4/2019,28,37.21644974
94,5/4/2019,7,16.79112244
95,6/4/2019,14,14.07235909
96,7/4/2019,48,45.08475494
97,8/4/2019,26,33.56567001
98,9/4/2019,45,40.26602554
99,10/4/2019,79,77.67500305
100,11/4/2019,72,70.73497009
