,Date,TruePrecip,PredictedPrecip
0,1/1/2019,0,10.55830956
1,2/1/2019,0,8.588594437
2,3/1/2019,0,10.82821369
3,4/1/2019,0,8.309511185
4,5/1/2019,0,5.113618374
5,6/1/2019,0,4.647179604
6,7/1/2019,3,3.470396519
7,8/1/2019,0,4.13528204
8,9/1/2019,0,2.619959354
9,10/1/2019,8,1.915933371
10,11/1/2019,23,5.785235882
11,12/1/2019,6,11.16786671
12,1/13/2019,8,6.100033283
13,1/14/2019,15,9.268488884
14,1/15/2019,21,13.78266048
15,1/16/2019,7,14.45390606
16,1/17/2019,0,7.981410503
17,1/18/2019,0,5.192961693
18,1/19/2019,0,5.243947506
19,1/20/2019,0,2.643981934
20,1/21/2019,0,2.825976849
21,1/22/2019,0,2.172903061
22,1/23/2019,0,2.621273279
23,1/24/2019,1,2.079856873
24,1/25/2019,1,2.151103735
25,1/26/2019,4,2.023276329
26,1/27/2019,15,3.341882706
27,1/28/2019,0,7.211839676
28,1/29/2019,0,3.608988285
29,1/30/2019,0,2.503487825
30,1/31/2019,0,0.854455233
31,1/2/2019,1,0.659128606
32,2/2/2019,3,0.999460876
33,3/2/2019,11,2.710501432
34,4/2/2019,19,8.275479317
35,5/2/2019,15,11.99362946
36,6/2/2019,6,11.07376766
37,7/2/2019,11,6.437041759
38,8/2/2019,22,11.6800499
39,9/2/2019,15,14.86803436
40,10/2/2019,6,10.97404671
41,11/2/2019,3,6.071239948
42,12/2/2019,0,3.509240627
43,2/13/2019,2,2.602900028
44,2/14/2019,11,6.42470789
45,2/15/2019,12,9.585383415
46,2/16/2019,23,11.02342415
47,2/17/2019,9,18.56754875
48,2/18/2019,1,5.742706776
49,2/19/2019,2,4.223948956
50,2/20/2019,1,3.47841692
51,2/21/2019,0,0.897396803
52,2/22/2019,0,0.735514402
53,2/23/2019,0,0.573044062
54,2/24/2019,0,0.946077108
55,2/25/2019,0,0.761594296
56,2/26/2019,14,1.428480744
57,2/27/2019,3,9.358282089
58,2/28/2019,1,4.21899128
59,1/3/2019,0,3.090605974
60,2/3/2019,0,1.989162683
61,3/3/2019,10,1.214146852
62,4/3/2019,2,5.446572304
63,5/3/2019,4,3.246727228
64,6/3/2019,1,4.648697376
65,7/3/2019,0,2.288073063
66,8/3/2019,0,1.80569911
67,9/3/2019,5,1.44183588
68,10/3/2019,0,4.100292206
69,11/3/2019,3,2.344393253
70,12/3/2019,2,3.074610233
71,3/13/2019,6,2.286674976
72,3/14/2019,2,4.689034939
