Date,Temp C
1/1/2009,31
2/1/2009,32
3/1/2009,31
4/1/2009,32
5/1/2009,31
6/1/2009,31
7/1/2009,32
8/1/2009,32
9/1/2009,28
10/1/2009,27
11/1/2009,31
12/1/2009,31
13/1/2009 ,30
14/1/2009 ,30
15/1/2009 ,32
16/1/2009 ,32
17/1/2009 ,31
18/1/2009 ,31
19/1/2009 ,31
20/1/2009 ,30
21/1/2009 ,30
22/1/2009 ,31
23/1/2009 ,31
24/1/2009 ,32
25/1/2009 ,30
26/1/2009 ,33
27/1/2009 ,31
28/1/2009 ,30
29/1/2009 ,32
30/1/2009 ,32
31/1/2009 ,31
1/2/2009,31
2/2/2009,32
3/2/2009,33
4/2/2009,32
5/2/2009,32
6/2/2009,32
7/2/2009,32
8/2/2009,30
9/2/2009,32
10/2/2009,31
11/2/2009,32
12/2/2009,31
13/2/2009 ,32
14/2/2009 ,32
15/2/2009 ,32
16/2/2009 ,31
17/2/2009 ,33
18/2/2009 ,33
19/2/2009 ,31
20/2/2009 ,33
21/2/2009 ,35
22/2/2009 ,34
23/2/2009 ,33
24/2/2009 ,32
25/2/2009 ,31
26/2/2009 ,31
27/2/2009 ,31
28/2/2009 ,32
1/3/2009,32
2/3/2009,33
3/3/2009,32
4/3/2009,32
5/3/2009,32
6/3/2009,32
7/3/2009,32
8/3/2009,31
9/3/2009,29
10/3/2009,30
11/3/2009,33
12/3/2009,31
13/3/2009 ,31
14/3/2009 ,30
15/3/2009 ,32
16/3/2009 ,32
17/3/2009 ,31
18/3/2009 ,33
19/3/2009 ,32
20/3/2009 ,31
21/3/2009 ,32
22/3/2009 ,33
23/3/2009 ,32
24/3/2009 ,28
25/3/2009 ,33
26/3/2009 ,31
27/3/2009 ,29
28/3/2009 ,31
29/3/2009 ,32
30/3/2009 ,31
31/3/2009 ,31
1/4/2009,33
2/4/2009,32
3/4/2009,32
4/4/2009,32
5/4/2009,33
6/4/2009,32
7/4/2009,33
8/4/2009,31
9/4/2009,33
10/4/2009,31
11/4/2009,32
12/4/2009,29
13/4/2009 ,30
14/4/2009 ,31
15/4/2009 ,31
16/4/2009 ,31
17/4/2009 ,31
18/4/2009 ,31
19/4/2009 ,31
20/4/2009 ,31
21/4/2009 ,31
22/4/2009 ,29
23/4/2009 ,31
24/4/2009 ,31
25/4/2009 ,31
26/4/2009 ,31
27/4/2009 ,32
28/4/2009 ,31
29/4/2009 ,31
30/4/2009 ,30
1/5/2009,30
2/5/2009,31
3/5/2009,31
4/5/2009,30
5/5/2009,30
6/5/2009,29
7/5/2009,31
8/5/2009,31
9/5/2009,30
10/5/2009,30
11/5/2009,31
12/5/2009,30
13/5/2009 ,30
14/5/2009 ,30
15/5/2009 ,31
16/5/2009 ,30
17/5/2009 ,30
18/5/2009 ,29
19/5/2009 ,29
20/5/2009 ,27
21/5/2009 ,28
22/5/2009 ,27
23/5/2009 ,26
24/5/2009 ,27
25/5/2009 ,27
26/5/2009 ,28
27/5/2009 ,28
28/5/2009 ,29
29/5/2009 ,29
30/5/2009 ,27
31/5/2009 ,27
1/6/2009,27
2/6/2009,29
3/6/2009,28
4/6/2009,27
5/6/2009,27
6/6/2009,28
7/6/2009,27
8/6/2009,28
9/6/2009,27
10/6/2009,27
11/6/2009,27
12/6/2009,27
13/6/2009 ,27
14/6/2009 ,28
15/6/2009 ,27
16/6/2009 ,27
17/6/2009 ,27
18/6/2009 ,26
19/6/2009 ,27
20/6/2009 ,28
21/6/2009 ,28
22/6/2009 ,27
23/6/2009 ,27
24/6/2009 ,27
25/6/2009 ,27
26/6/2009 ,27
27/6/2009 ,26
28/6/2009 ,26
29/6/2009 ,26
30/6/2009 ,26
1/7/2009,27
2/7/2009,27
3/7/2009,28
4/7/2009,27
5/7/2009,27
6/7/2009,27
7/7/2009,27
8/7/2009,28
9/7/2009,28
10/7/2009,28
11/7/2009,28
12/7/2009,29
13/7/2009 ,28
14/7/2009 ,27
15/7/2009 ,27
16/7/2009 ,27
17/7/2009 ,26
18/7/2009 ,28
19/7/2009 ,27
20/7/2009 ,27
21/7/2009 ,27
22/7/2009 ,26
23/7/2009 ,27
24/7/2009 ,28
25/7/2009 ,29
26/7/2009 ,28
27/7/2009 ,28
28/7/2009 ,27
29/7/2009 ,28
30/7/2009 ,28
31/7/2009 ,26
1/8/2009,27
2/8/2009,27
3/8/2009,27
4/8/2009,26
5/8/2009,28
6/8/2009,26
7/8/2009,26
8/8/2009,27
9/8/2009,28
10/8/2009,29
11/8/2009,28
12/8/2009,28
13/8/2009 ,27
14/8/2009 ,27
15/8/2009 ,27
16/8/2009 ,27
17/8/2009 ,25
18/8/2009 ,28
19/8/2009 ,28
20/8/2009 ,26
21/8/2009 ,27
22/8/2009 ,28
23/8/2009 ,26
24/8/2009 ,27
25/8/2009 ,27
26/8/2009 ,28
27/8/2009 ,27
28/8/2009 ,27
29/8/2009 ,27
30/8/2009 ,27
31/8/2009 ,27
1/9/2009,26
2/9/2009,25
3/9/2009,26
4/9/2009,26
5/9/2009,26
6/9/2009,27
7/9/2009,26
